FCP,product type,traffic,bandwidth,duration,night traffic,infra,price,description
Pars,ترافیک,10,0,0,0.0,ADSL,200000,بسته ترافیک 10 گیگابایت
Pars,ترافیک,5,0,0,0.0,ADSL,100000,بسته ترافیک 5 گیگابایت
Pars,ترافیک,3,0,0,0.0,ADSL,60000,بسته ترافیک 3 گیگابایت
Pars,ترافیک,1,0,0,0.0,ADSL,20000,بسته ترافیک 1 گیگابایت
Pars,سرویس,4800,16384,4,0.0,ADSL,20250000,سرویس زمرد 16 مگابیت 12 ماهه
Pars,سرویس,2400,16384,4,0.0,ADSL,10687500,سرویس زمرد 16 مگابیت 6 ماهه
Pars,سرویس,1200,16384,4,0.0,ADSL,5625000,سرویس زمرد 16 مگابیت 3 ماهه
Pars,سرویس,400,16384,4,0.0,ADSL,1875000,سرویس زمرد 16 مگابیت 1 ماهه
Pars,سرویس,2400,8192,4,0.0,ADSL,12690000,سرویس زمرد 8 مگابیت 12 ماهه
Pars,سرویس,1200,8192,4,0.0,ADSL,6697500,سرویس زمرد 8 مگابیت 6 ماهه
Pars,سرویس,600,8192,4,0.0,ADSL,3525000,سرویس زمرد 8 مگابیت 3 ماهه
Pars,سرویس,200,8192,4,0.0,ADSL,1175000,سرویس زمرد 8 مگابیت 1 ماهه
Pars,سرویس,1080,4096,4,0.0,ADSL,10584000,سرویس زمرد 4 مگابیت 12 ماهه
Pars,سرویس,540,4096,4,0.0,ADSL,5586000,سرویس زمرد 4 مگابیت 6 ماهه
Pars,سرویس,270,4096,4,0.0,ADSL,2940000,سرویس زمرد 4 مگابیت 3 ماهه
Pars,سرویس,90,4096,4,0.0,ADSL,980000,سرویس زمرد 4 مگابیت 1 ماهه
Pars,سرویس,50,3072,4,0.0,ADSL,715000,سرویس زمرد 3 مگابیت 1 ماهه
Pars,سرویس,38,2048,4,0.0,ADSL,500000,سرویس زمرد 2 مگابیت 1 ماهه
Pars,سرویس,20,1024,4,0.0,ADSL,415000,سرویس زمرد 1 مگابیت 1 ماهه
Pars,سرویس,20,0,4,0.0,ADSL,250000,سرویس زمرد 512 کیلوبیت 1 ماهه
Pars,سرویس,720,16384,4,0.0,ADSL,16200000,سرویس زمرد 16 مگابیت 12 ماهه
Pars,سرویس,360,16384,4,0.0,ADSL,8550000,سرویس زمرد 16 مگابیت 6 ماهه
Pars,سرویس,180,16384,4,0.0,ADSL,4500000,سرویس زمرد 16 مگابیت 3 ماهه
Pars,سرویس,60,16384,4,0.0,ADSL,1500000,سرویس زمرد 16 مگابیت 1 ماهه
Pars,سرویس,480,8192,4,0.0,ADSL,10152000,سرویس زمرد 8 مگابیت 12 ماهه
Pars,سرویس,240,8192,4,0.0,ADSL,5358000,سرویس زمرد 8 مگابیت 6 ماهه
Pars,سرویس,120,8192,4,0.0,ADSL,2820000,سرویس زمرد 8 مگابیت 3 ماهه
Pars,سرویس,40,8192,4,0.0,ADSL,940000,سرویس زمرد 8 مگابیت 1 ماهه
Pars,سرویس,360,4096,4,0.0,ADSL,8100000,سرویس زمرد 4 مگابیت 12 ماهه
Pars,سرویس,180,4096,4,0.0,ADSL,4275000,سرویس زمرد 4 مگابیت 6 ماهه
Pars,سرویس,90,4096,4,0.0,ADSL,2250000,سرویس زمرد 4 مگابیت 3 ماهه
Pars,سرویس,30,4096,4,0.0,ADSL,750000,سرویس زمرد 4 مگابیت 1 ماهه
Pars,سرویس,16,16384,4,0.0,ADSL,800000,سرویس برنز 16 مگابیت 1 ماهه
Pars,سرویس,10,8192,4,0.0,ADSL,500000,سرویس برنز 8 مگابیت 1 ماهه
Pars,سرویس,8,4096,4,0.0,ADSL,400000,سرویس برنز 4 مگابیت 1 ماهه
Pars,سرویس,5,3072,4,0.0,ADSL,350000,سرویس برنز 3 مگابیت 1 ماهه
Pars,سرویس,3,2048,4,0.0,ADSL,250000,سرویس برنز 2 مگابیت 1 ماهه
Pars,سرویس,2,1024,4,0.0,ADSL,200000,سرویس برنز 1 مگابیت 1 ماهه
Pars,سرویس,1,0,4,0.0,ADSL,125000,سرویس برنز 512 کیلوبیت 1 ماهه
Pars,سرویس,5400,16384,5,0.0,ADSL,26250000,سرویس 16 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک
Pars,سرویس,2700,16384,5,0.0,ADSL,13687500,سرویس 16 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک
Pars,سرویس,3000,8192,5,0.0,ADSL,18690000,سرویس 8 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک
Pars,سرویس,1500,8192,5,0.0,ADSL,9697500,سرویس 8 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک
Pars,نصب,0,0,0,0.0,ADSL,1000000,نصب حضوری
