FCP,product type,traffic,bandwidth,duration,night traffic,infra,price,description
Hiweb,ترافیک,1,0,0,0,ADSL,20000,None
Hiweb,ترافیک,3,0,0,0,ADSL,60000,None
Hiweb,ترافیک,5,0,0,0,ADSL,100000,None
Hiweb,ترافیک,10,0,0,0,ADSL,200000,None
Hiweb,سرویس,4800,16384,4,0,ADSL,20250000,None
Hiweb,سرویس,2400,16384,4,0,ADSL,10687500,None
Hiweb,سرویس,1200,16384,4,0,ADSL,5625000,None
Hiweb,سرویس,400,16384,4,0,ADSL,1875000,None
Hiweb,سرویس,2400,8192,4,0,ADSL,12690000,None
Hiweb,سرویس,1200,8192,4,0,ADSL,6697500,None
Hiweb,سرویس,600,8192,4,0,ADSL,3525000,None
Hiweb,سرویس,200,8192,4,0,ADSL,1175000,None
Hiweb,سرویس,1080,4096,4,0,ADSL,10584000,None
Hiweb,سرویس,540,4096,4,0,ADSL,5586000,None
Hiweb,سرویس,270,4096,4,0,ADSL,2940000,None
Hiweb,سرویس,90,4096,4,0,ADSL,980000,None
Hiweb,سرویس,50,3072,4,0,ADSL,715000,None
Hiweb,سرویس,38,2048,4,0,ADSL,500000,None
Hiweb,سرویس,20,1024,4,0,ADSL,415000,None
Hiweb,سرویس,20,0,4,0,ADSL,250000,None
Hiweb,سرویس,720,16384,4,0,ADSL,16200000,None
Hiweb,سرویس,360,16384,4,0,ADSL,8550000,None
Hiweb,سرویس,180,16384,4,0,ADSL,4500000,None
Hiweb,سرویس,60,16384,4,0,ADSL,1500000,None
Hiweb,سرویس,480,8192,4,0,ADSL,10152000,None
Hiweb,سرویس,240,8192,4,0,ADSL,5358000,None
Hiweb,سرویس,120,8192,4,0,ADSL,2820000,None
Hiweb,سرویس,40,8192,4,0,ADSL,940000,None
Hiweb,سرویس,360,4096,4,0,ADSL,8100000,None
Hiweb,سرویس,180,4096,4,0,ADSL,4275000,None
Hiweb,سرویس,90,4096,4,0,ADSL,2250000,None
Hiweb,سرویس,30,4096,4,0,ADSL,750000,None
Hiweb,سرویس,20,3072,4,0,ADSL,570000,None
Hiweb,سرویس,15,2048,4,0,ADSL,400000,None
Hiweb,سرویس,10,1024,4,0,ADSL,330000,None
Hiweb,سرویس,16,16384,4,0,ADSL,800000,None
Hiweb,سرویس,10,8192,4,0,ADSL,500000,None
Hiweb,سرویس,8,4096,4,0,ADSL,400000,None
Hiweb,سرویس,5,3072,4,0,ADSL,350000,None
Hiweb,سرویس,3,2048,4,0,ADSL,250000,None
Hiweb,سرویس,2,1024,4,0,ADSL,200000,None
Hiweb,سرویس,1,0,4,0,ADSL,125000,None
Hiweb,سرویس,5400,16384,5,0,ADSL,26250000,None
Hiweb,سرویس,2700,16384,5,0,ADSL,13687500,None
Hiweb,سرویس,3000,8192,5,0,ADSL,18690000,None
Hiweb,سرویس,1500,8192,5,0,ADSL,9697500,None
Hiweb,خدمات,0,0,0,0,ADSL,300000,None
