FCP,product type,traffic,bandwidth,duration,night traffic,infra,price,description
Pars,ترافیک,10,0,0,0,ADSL,200000,None
Pars,ترافیک,5,0,0,0,ADSL,100000,None
Pars,ترافیک,3,0,0,0,ADSL,60000,None
Pars,ترافیک,1,0,0,0,ADSL,20000,None
Pars,سرویس,4800,16384,4,0,ADSL,20250000,None
Pars,سرویس,2400,16384,4,0,ADSL,10687500,None
Pars,سرویس,1200,16384,4,0,ADSL,5625000,None
Pars,سرویس,400,16384,4,0,ADSL,1875000,None
Pars,سرویس,2400,8192,4,0,ADSL,12690000,None
Pars,سرویس,1200,8192,4,0,ADSL,6697500,None
Pars,سرویس,600,8192,4,0,ADSL,3525000,None
Pars,سرویس,200,8192,4,0,ADSL,1175000,None
Pars,سرویس,1080,4096,4,0,ADSL,10584000,None
Pars,سرویس,540,4096,4,0,ADSL,5586000,None
Pars,سرویس,270,4096,4,0,ADSL,2940000,None
Pars,سرویس,90,4096,4,0,ADSL,980000,None
Pars,سرویس,50,3072,4,0,ADSL,715000,None
Pars,سرویس,38,2048,4,0,ADSL,500000,None
Pars,سرویس,20,1024,4,0,ADSL,415000,None
Pars,سرویس,20,0,4,0,ADSL,250000,None
Pars,سرویس,720,16384,4,0,ADSL,16200000,None
Pars,سرویس,360,16384,4,0,ADSL,8550000,None
Pars,سرویس,180,16384,4,0,ADSL,4500000,None
Pars,سرویس,60,16384,4,0,ADSL,1500000,None
Pars,سرویس,480,8192,4,0,ADSL,10152000,None
Pars,سرویس,240,8192,4,0,ADSL,5358000,None
Pars,سرویس,120,8192,4,0,ADSL,2820000,None
Pars,سرویس,40,8192,4,0,ADSL,940000,None
Pars,سرویس,360,4096,4,0,ADSL,8100000,None
Pars,سرویس,180,4096,4,0,ADSL,4275000,None
Pars,سرویس,90,4096,4,0,ADSL,2250000,None
Pars,سرویس,30,4096,4,0,ADSL,750000,None
Pars,سرویس,16,16384,4,0,ADSL,800000,None
Pars,سرویس,10,8192,4,0,ADSL,500000,None
Pars,سرویس,8,4096,4,0,ADSL,400000,None
Pars,سرویس,5,3072,4,0,ADSL,350000,None
Pars,سرویس,3,2048,4,0,ADSL,250000,None
Pars,سرویس,2,1024,4,0,ADSL,200000,None
Pars,سرویس,1,0,4,0,ADSL,125000,None
Pars,سرویس,5400,16384,5,0,ADSL,26250000,None
Pars,سرویس,2700,16384,5,0,ADSL,13687500,None
Pars,سرویس,3000,8192,5,0,ADSL,18690000,None
Pars,سرویس,1500,8192,5,0,ADSL,9697500,None
Pars,نصب,0,0,0,0,ADSL,1000000,None
