service name,traffic,price
بسته ترافیک 1 گیگابایت,1 گیگابایت  ترافیک بین الملل,"20,000 ریال"
بسته ترافیک 3 گیگابایت,3 گیگابایت  ترافیک بین الملل,"60,000 ریال"
بسته ترافیک 5 گیگابایت,5 گیگابایت  ترافیک بین الملل,"100,000 ریال"
بسته ترافیک 10 گیگابایت,10 گیگابایت  ترافیک بین الملل,"200,000 ریال"
سرویس زمرد 16 مگابیت 12 ماهه,4800 گیگابایت  ترافیک بین الملل,"20,250,000 ریال"
سرویس زمرد 16 مگابیت 6 ماهه,2400 گیگابایت  ترافیک بین الملل,"10,687,500 ریال"
سرویس زمرد 16 مگابیت 3 ماهه,1200 گیگابایت  ترافیک بین الملل,"5,625,000 ریال"
سرویس زمرد 16 مگابیت 1 ماهه,400 گیگابایت  ترافیک بین الملل,"1,875,000 ریال"
سرویس زمرد 8 مگابیت 12 ماهه,2400 گیگابایت  ترافیک بین الملل,"12,690,000 ریال"
سرویس زمرد 8 مگابیت 6 ماهه,1200 گیگابایت  ترافیک بین الملل,"6,697,500 ریال"
سرویس زمرد 8 مگابیت 3 ماهه,600 گیگابایت  ترافیک بین الملل,"3,525,000 ریال"
سرویس زمرد 8 مگابیت 1 ماهه,200 گیگابایت  ترافیک بین الملل,"1,175,000 ریال"
سرویس زمرد 4 مگابیت 12 ماهه,1080 گیگابایت  ترافیک بین الملل,"10,584,000 ریال"
سرویس زمرد 4 مگابیت 6 ماهه,540 گیگابایت  ترافیک بین الملل,"5,586,000 ریال"
سرویس زمرد 4 مگابیت 3 ماهه,270 گیگابایت  ترافیک بین الملل,"2,940,000 ریال"
سرویس زمرد 4 مگابیت 1 ماهه,90 گیگابایت  ترافیک بین الملل,"980,000 ریال"
سرویس زمرد 3 مگابیت 1 ماهه,50 گیگابایت  ترافیک بین الملل,"715,000 ریال"
سرویس زمرد 2 مگابیت 1 ماهه,38 گیگابایت  ترافیک بین الملل,"500,000 ریال"
سرویس زمرد 1 مگابیت 1 ماهه,20 گیگابایت  ترافیک بین الملل,"415,000 ریال"
سرویس زمرد 512 کیلوبیت 1 ماهه,20 گیگابایت  ترافیک بین الملل,"250,000 ریال"
سرویس زمرد 16 مگابیت 12 ماهه,720 گیگابایت  ترافیک بین الملل,"16,200,000 ریال"
سرویس زمرد 16 مگابیت 6 ماهه,360 گیگابایت  ترافیک بین الملل,"8,550,000 ریال"
سرویس زمرد 16 مگابیت 3 ماهه,180 گیگابایت  ترافیک بین الملل,"4,500,000 ریال"
سرویس زمرد 16 مگابیت 1 ماهه,60 گیگابایت  ترافیک بین الملل,"1,500,000 ریال"
سرویس زمرد 8 مگابیت 12 ماهه,480 گیگابایت  ترافیک بین الملل,"10,152,000 ریال"
سرویس زمرد 8 مگابیت 6 ماهه,240 گیگابایت  ترافیک بین الملل,"5,358,000 ریال"
سرویس زمرد 8 مگابیت 3 ماهه,120 گیگابایت  ترافیک بین الملل,"2,820,000 ریال"
سرویس زمرد 8 مگابیت 1 ماهه,40 گیگابایت  ترافیک بین الملل,"940,000 ریال"
سرویس زمرد 4 مگابیت 12 ماهه,360 گیگابایت  ترافیک بین الملل,"8,100,000 ریال"
سرویس زمرد 4 مگابیت 6 ماهه,180 گیگابایت  ترافیک بین الملل,"4,275,000 ریال"
سرویس زمرد 4 مگابیت 3 ماهه,90 گیگابایت  ترافیک بین الملل,"2,250,000 ریال"
سرویس زمرد 4 مگابیت 1 ماهه,30 گیگابایت  ترافیک بین الملل,"750,000 ریال"
سرویس زمرد 3 مگابیت 1 ماهه,20 گیگابایت  ترافیک بین الملل,"570,000 ریال"
سرویس زمرد 2 مگابیت 1 ماهه,15 گیگابایت  ترافیک بین الملل,"400,000 ریال"
سرویس زمرد 1 مگابیت 1 ماهه,10 گیگابایت  ترافیک بین الملل,"330,000 ریال"
سرویس برنز 16 مگابیت 1 ماهه,16 گیگابایت  ترافیک بین الملل,"800,000 ریال"
سرویس برنز 8 مگابیت 1 ماهه,10 گیگابایت  ترافیک بین الملل,"500,000 ریال"
سرویس برنز 4 مگابیت 1 ماهه,8 گیگابایت  ترافیک بین الملل,"400,000 ریال"
سرویس برنز 3 مگابیت 1 ماهه,5 گیگابایت  ترافیک بین الملل,"350,000 ریال"
سرویس برنز 2 مگابیت 1 ماهه,3 گیگابایت  ترافیک بین الملل,"250,000 ریال"
سرویس برنز 1 مگابیت 1 ماهه,2 گیگابایت  ترافیک بین الملل,"200,000 ریال"
سرویس برنز 512 کیلوبیت 1 ماهه,1 گیگابایت  ترافیک بین الملل,"125,000 ریال"
سرویس 16 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک,5400 گیگابایت  ترافیک بین الملل,"26,250,000 ریال"
سرویس 16 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک,2700 گیگابایت  ترافیک بین الملل,"13,687,500 ریال"
سرویس 8 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک,3000 گیگابایت  ترافیک بین الملل,"18,690,000 ریال"
سرویس 8 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک,1500 گیگابایت  ترافیک بین الملل,"9,697,500 ریال"
خدمات پشتیبانی حضوری,,"300,000 ریال"
