FCP,product type,traffic,bandwidth,duration,night traffic,infra,price,description
pars,سرویس,20,512,1,0,ADSL,250000,
pars,سرویس,20,1024,1,0,ADSL,415000,
pars,سرویس,38,2048,1,0,ADSL,500000,
pars,سرویس,50,3072,1,0,ADSL,715000,
pars,سرویس,90,4096,1,0,ADSL,980000,
pars,سرویس,200,8192,1,0,ADSL,1175000,
pars,سرویس,400,16384,1,0,ADSL,1875000,
pars,سرویس,1,512,1,0,ADSL,125000,
pars,سرویس,2,1024,1,0,ADSL,200000,
pars,سرویس,3,2048,1,0,ADSL,250000,
pars,سرویس,5,3072,1,0,ADSL,350000,
pars,سرویس,8,4096,1,0,ADSL,400000,
pars,سرویس,10,8192,1,0,ADSL,500000,
pars,سرویس,16,16384,1,0,ADSL,800000,
