,service name,traffic,price
0,"[<div class=""package-title"">بسته ترافیک 1 گیگابایت</div>]","[<div class=""package-body-title"">
            1 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 2 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">20,000 ریال</div>]"
1,"[<div class=""package-title"">بسته ترافیک 3 گیگابایت</div>]","[<div class=""package-body-title"">
            3 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 6 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">60,000 ریال</div>]"
2,"[<div class=""package-title"">بسته ترافیک 5 گیگابایت</div>]","[<div class=""package-body-title"">
            5 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 10 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">100,000 ریال</div>]"
3,"[<div class=""package-title"">بسته ترافیک 10 گیگابایت</div>]","[<div class=""package-body-title"">
            10 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 20 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">200,000 ریال</div>]"
4,"[<div class=""package-title"">سرویس زمرد 16 مگابیت 12 ماهه</div>]","[<div class=""package-body-title"">
            4800 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 9600 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">20,250,000 ریال</div>]"
5,"[<div class=""package-title"">سرویس زمرد 16 مگابیت 6 ماهه</div>]","[<div class=""package-body-title"">
            2400 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 4800 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">10,687,500 ریال</div>]"
6,"[<div class=""package-title"">سرویس زمرد 16 مگابیت 3 ماهه</div>]","[<div class=""package-body-title"">
            1200 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 2400 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">5,625,000 ریال</div>]"
7,"[<div class=""package-title"">سرویس زمرد 16 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            400 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 800 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">1,875,000 ریال</div>]"
8,"[<div class=""package-title"">سرویس زمرد 8 مگابیت 12 ماهه</div>]","[<div class=""package-body-title"">
            2400 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 4800 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">12,690,000 ریال</div>]"
9,"[<div class=""package-title"">سرویس زمرد 8 مگابیت 6 ماهه</div>]","[<div class=""package-body-title"">
            1200 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 2400 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">6,697,500 ریال</div>]"
10,"[<div class=""package-title"">سرویس زمرد 8 مگابیت 3 ماهه</div>]","[<div class=""package-body-title"">
            600 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 1200 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">3,525,000 ریال</div>]"
11,"[<div class=""package-title"">سرویس زمرد 8 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            200 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 400 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">1,175,000 ریال</div>]"
12,"[<div class=""package-title"">سرویس زمرد 4 مگابیت 12 ماهه</div>]","[<div class=""package-body-title"">
            1080 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 2160 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">10,584,000 ریال</div>]"
